"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-May-2021","EQ","39.25","42.15","39.20","39.45","41.25","41.45","41.02","50.00","23.15",4304549,"176,577,820.90",9035
"18-May-2021","EQ","39.20","39.85","38.90","38.75","39.55","39.45","39.46","50.00","23.15",1134382,"44,760,294.75",3164
"17-May-2021","EQ","39.75","40.10","38.65","39.40","39.00","38.75","39.25","50.00","23.15",1211226,"47,537,915.60",3487
"14-May-2021","EQ","40.15","40.45","39.20","39.95","39.20","39.40","39.73","50.00","22.90",962331,"38,230,849.40",2953
"12-May-2021","EQ","41.00","41.70","39.70","40.85","40.00","39.95","40.81","50.00","22.90",2078203,"84,814,242.45",4652
"11-May-2021","EQ","40.65","41.95","40.25","41.00","40.90","40.85","41.06","50.00","22.90",3447619,"141,546,610.50",6718
"10-May-2021","EQ","40.30","41.95","39.80","40.10","41.00","41.00","41.10","50.00","22.90",2369147,"97,381,983.95",6366
"07-May-2021","EQ","41.00","41.65","39.90","40.60","40.00","40.10","40.90","50.00","20.75",2184326,"89,335,829.80",4983
"06-May-2021","EQ","38.90","41.20","38.35","38.90","40.20","40.60","40.06","50.00","20.75",2620234,"104,964,834.45",6657
"05-May-2021","EQ","38.10","39.45","37.85","37.95","39.00","38.90","38.60","50.00","20.75",1038915,"40,098,173.60",3567
"04-May-2021","EQ","39.95","40.55","37.35","39.75","37.80","37.95","38.95","50.00","20.75",1548194,"60,308,323.70",4522
"03-May-2021","EQ","39.50","40.90","39.00","39.50","39.65","39.75","39.97","50.00","20.75",760729,"30,405,172.25",3309
"30-Apr-2021","EQ","39.80","40.85","39.25","40.35","39.35","39.50","40.00","50.00","20.75",1117636,"44,707,288.25",3190
"29-Apr-2021","EQ","41.40","41.80","40.10","41.20","40.20","40.35","40.75","50.00","20.75",1067839,"43,509,644.80",3531
"28-Apr-2021","EQ","40.65","42.10","40.35","40.45","41.20","41.20","41.38","50.00","20.75",2395930,"99,151,394.10",5866
"27-Apr-2021","EQ","39.45","42.30","39.05","39.40","40.25","40.45","40.90","50.00","20.75",2924267,"119,608,301.45",7558
"26-Apr-2021","EQ","40.40","40.50","39.05","40.50","39.20","39.40","39.66","50.00","20.75",2353089,"93,314,212.40",5602
"23-Apr-2021","EQ","42.90","44.75","39.70","43.05","40.25","40.50","42.49","50.00","20.15",9634235,"409,356,050.10",19191
"22-Apr-2021","EQ","39.30","43.95","36.50","38.60","42.95","43.05","41.99","50.00","20.15",18315854,"769,148,224.95",36009
"20-Apr-2021","EQ","38.30","39.00","37.05","37.25","38.50","38.60","38.41","50.00","20.15",1600811,"61,487,207.40",4954
"19-Apr-2021","EQ","36.00","37.50","35.10","36.65","37.50","37.25","36.72","50.00","20.15",898319,"32,988,092.85",3953
